코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
121000	수익	109161513000	209395560000	305989264000	396693648000	97942176000	196771122000	290539253000	396390016000	109863218000	210805059000	320188356000	422947218000	110651329000
121100	   총수익	144644305000	271941266000	394265761000	513219472000	133538680000	260704531000	387078811000	521086353000	131647447000	263839683000	401936840000	532980427000	139538350000
121190	      [국내]													
121195	      [수출]	144644305000	271941266000	394265761000	513219472000	133538680000	260704531000	387078811000	521086353000	131647447000	263839683000	401936840000	532980427000	139538350000
121198	      [구분불명]													
121110	      상품판매로인한수익													
121111	         국내													
121112	         수출													
121118	         구분불명													
121120	      제품판매로인한수익	144644305000	271941266000	394265761000	513219472000	133538680000	260704531000	387078811000	521086353000	131647447000	263839683000	401936840000	532980427000	139538350000
121121	         국내													
121122	         수출	144644305000	271941266000	394265761000	513219472000	133538680000	260704531000	387078811000	521086353000	131647447000	263839683000	401936840000	532980427000	139538350000
121128	         구분불명													
121140	      [공사수익]													
121150	      [분양수익]													
121160	      [임대수익]													
121170	      [용역수익]													
121171	      [지분법이익]													
121172	      [배당수익]													
121173	      [로열티수입]													
121174	      [이자수익]													
121175	      [수수료수익]													
121176	      [제품판매로인한수익]													
121180	      [기타수익]	144644305000	271941266000	394265761000	513219472000	133538680000	260704531000	387078811000	521086353000	131647447000	263839683000	401936840000	532980427000	139538350000
121500	      상품제품판매로인한수익													
121501	         국내													
121502	         수출													
121503	         구분불명													
121130	      기타수익													
121131	         국내													
121132	         수출													
121138	         구분불명													
121200	   매출에누리와환입	12884579000	22876565000	31239866000	37852191000	7138416000	17190112000	25840899000	34947480000	8366985000	16069483000	27219774000	35754388000	7255901000
121300	   판매장려금등													
121400	   매출할인													
121450	   반품추정수익													
121451	   특정매입원가													
121452	   기타수익조정	22598213000	39669141000	57036631000	78673633000	28458088000	46743297000	70698659000	89748857000	13417244000	36965141000	54528710000	74278821000	21631120000
122000	매출원가	75334447000	156922907000	232891799000	316624930000	77187371000	155745258000	234320398000	325437855000	82619042000	161115839000	244446688000	338473977000	85302547000
122100	   상품매출원가													
122110	      기초재고													
122120	      매입													
122125	      타계정에서대체													
122126	      관세환급금													
122130	      타계정으로대체													
122140	      기말재고													
122200	   제품매출원가	75334447000	156922907000	232891799000	316624930000	77187371000	155745258000	234320398000	325437855000	82619042000	161115839000	244446688000	338473977000	85302547000
122210	      기초재고													
122220	      당기제품제조원가	75334447000	156922907000	232891799000	316624930000	77187371000	155745258000	234320398000	325437855000	82619042000	161115839000	244446688000	338473977000	85302547000
122225	      타계정에서대체													
122226	      관세환급금													
122230	      타계정으로대체													
122240	      기말재고													
122300	   [공사원가]													
122400	   [분양원가]													
122500	   [임대원가]													
122600	   [용역원가]													
122650	   [제품매출원가]													
122651	   [이자비용]													
122652	   [지분법손실]													
122653	   [감가상각비]													
122654	   [무형자산상각비]													
122655	   [종업원급여]													
122700	   [기타원가]	75334447000	156922907000	232891799000	316624930000	77187371000	155745258000	234320398000	325437855000	82619042000	161115839000	244446688000	338473977000	85302547000
122305	   상품제품매출원가													
122310	      기초재고													
122320	      매입/제조													
122325	      타계정에서대체													
122326	      관세환급금													
122330	      타계정으로대체													
122340	      기말재고													
122900	   기타매출원가													
122910	      기초재고													
122920	      매입/제조													
122925	      타계정에서대체													
122926	      관세환급금													
122930	      타계정으로대체													
122940	      기말재고													
122050	   재고자산평가손실													
122950	   반품추정매출원가													
