코드	계정명	2023-09-30/Annual	2024-09-30/Annual	2025-09-30/Annual
121000	수익		219040343000	415984913000
121100	   총수익		219040343000	415984913000
121190	      [국내]			
121195	      [수출]			
121198	      [구분불명]			
121110	      상품판매로인한수익		38952777000	51699040000
121111	         국내			
121112	         수출			
121118	         구분불명			
121120	      제품판매로인한수익		180087566000	364285873000
121121	         국내			
121122	         수출			
121128	         구분불명			
121140	      [공사수익]			
121150	      [분양수익]			
121160	      [임대수익]			8672631000
121170	      [용역수익]			
121171	      [지분법이익]			
121172	      [배당수익]			
121173	      [로열티수입]			
121174	      [이자수익]			
121175	      [수수료수익]			
121176	      [제품판매로인한수익]			
121180	      [기타수익]		180087566000	355613242000
121500	      상품제품판매로인한수익			
121501	         국내			
121502	         수출			
121503	         구분불명			
121130	      기타수익			
121131	         국내			
121132	         수출			
121138	         구분불명			
121200	   매출에누리와환입			
121300	   판매장려금등			
121400	   매출할인			
121450	   반품추정수익			
121451	   특정매입원가			
121452	   기타수익조정			
122000	매출원가		21131876000	25962038000
122100	   상품매출원가		21131876000	25962038000
122110	      기초재고			404583000
122120	      매입		21131876000	26020876000
122125	      타계정에서대체			
122126	      관세환급금			
122130	      타계정으로대체			
122140	      기말재고			463421000
122200	   제품매출원가			
122210	      기초재고			
122220	      당기제품제조원가			
122225	      타계정에서대체			
122226	      관세환급금			
122230	      타계정으로대체			
122240	      기말재고			
122300	   [공사원가]			
122400	   [분양원가]			
122500	   [임대원가]			
122600	   [용역원가]			
122650	   [제품매출원가]			
122651	   [이자비용]			
122652	   [지분법손실]			
122653	   [감가상각비]			
122654	   [무형자산상각비]			
122655	   [종업원급여]			
122700	   [기타원가]			
122305	   상품제품매출원가			
122310	      기초재고			
122320	      매입/제조			
122325	      타계정에서대체			
122326	      관세환급금			
122330	      타계정으로대체			
122340	      기말재고			
122900	   기타매출원가			
122910	      기초재고			
122920	      매입/제조			
122925	      타계정에서대체			
122926	      관세환급금			
122930	      타계정으로대체			
122940	      기말재고			
122050	   재고자산평가손실			
122950	   반품추정매출원가			
122980	   매입할인			
122990	   매출원가조정			
123000	매출총이익(손실)		197908467000	390022875000
123100	기타영업수익			
123102	   재고자산의변동			
123110	   금융수익			
123115	   [공시금융수익]			
123111	      이자수익			
123112	      장단기투자자산이자수익			
123120	      배당금수익			
123130	      매출채권처분이익			
123132	      주식배당금수익			
123113	      기타금융수익			
123121	   단기투자자산처분이익			
123122	   장기투자자산처분이익			
123165	   투자자산처분이익			
123123	   단기금융상품처분이익			
123124	   단기매매금융자산처분이익			
123206	   당기손익인식금융자산처분이익			
123166	   매도가능금융자산처분이익			
123167	   만기보유금융자산처분이익			
123175	   기타장단기투자자산처분이익			
123125	   지분법주식처분이익			
123126	   종속기업투자처분이익			
123127	   관계기업투자처분이익			
123128	   조인트벤처투자처분이익			
123131	   임대주택자산처분이익			
123169	   유,무형,리스자산처분이익			
123133	   신주인수권처분이익			
123205	   기타자산처분이익			
123134	   임대료수익			
123135	   수수료수익			
123136	   원가차익			
123137	   매입할인			
123138	   보험차익			
123139	   외환차익			
123140	   외화환산이익			
123141	   파생상품거래이익			
123142	   파생상품거래대환입			
123143	   파생상품평가이익			
123150	   자산평가이익			
123155	      투자자산평가이익			
123151	      단기금융상품평가이익			
123152	      단기매매금융자산평가이익			
123174	      당기손익인식금융자산평가이익			
123156	      매도가능금융자산평가이익			
123154	      기타장단기투자자산평가이익			
123153	      단기투자일임계약자산평가이익			
123157	      유형자산평가이익			
