코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
121000	수익	191518608000	466803838000	752385877000	994199114000	264770276000	538034498000	806279464000	1072108965000	283304949000	567766064000	856013337000	1149867026000	293966427000
121100	   총수익	191518608000	466803838000	752385877000	994199114000	264770276000	538034498000	806279464000	1072108965000	283304949000	567766064000	856013337000	1149867026000	293966427000
121190	      [국내]													
121195	      [수출]													
121198	      [구분불명]													
121110	      상품판매로인한수익												76030278000	
121111	         국내													
121112	         수출													
121118	         구분불명													
121120	      제품판매로인한수익												1073836748000	
121121	         국내													
121122	         수출													
121128	         구분불명													
121140	      [공사수익]													
121150	      [분양수익]													
121160	      [임대수익]													
121170	      [용역수익]													
121171	      [지분법이익]													
121172	      [배당수익]													
121173	      [로열티수입]													
121174	      [이자수익]													
121175	      [수수료수익]													
121176	      [제품판매로인한수익]													
121180	      [기타수익]												1073836748000	
121500	      상품제품판매로인한수익	187559404000	460093814000	739472374000	978078638000	260856810000	531858871000	792470978000	1054298683000	278977113000	559709034000	841513159000		289464983000
121501	         국내													
121502	         수출													
121503	         구분불명													
121130	      기타수익	3959204000	6710023000	12913504000	16120476000	3913465000	6175627000	13808486000	17810282000	4327836000	8057030000	14500178000		4501444000
121131	         국내													
121132	         수출													
121138	         구분불명													
121200	   매출에누리와환입													
121300	   판매장려금등													
121400	   매출할인													
121450	   반품추정수익													
121451	   특정매입원가													
121452	   기타수익조정													
122000	매출원가	156046020000	345313905000	551667627000	760244214000	196097208000	403355215000	611793217000	834030709000	205327085000	419185482000	638557105000	882109021000	225766906000
122100	   상품매출원가													
122110	      기초재고													
122120	      매입													
122125	      타계정에서대체													
122126	      관세환급금													
122130	      타계정으로대체													
122140	      기말재고													
122200	   제품매출원가													
122210	      기초재고													
122220	      당기제품제조원가													
122225	      타계정에서대체													
122226	      관세환급금													
122230	      타계정으로대체													
122240	      기말재고													
122300	   [공사원가]													
122400	   [분양원가]													
122500	   [임대원가]													
122600	   [용역원가]													
122650	   [제품매출원가]													
122651	   [이자비용]													
122652	   [지분법손실]													
122653	   [감가상각비]													
122654	   [무형자산상각비]													
122655	   [종업원급여]													
